seed,policy,stratum,sessions,users,shortfall,individual_unavoidable,dimension
55,equal,<=3h,16,12,0.39194893608470444,0.1737834768771156,dwell_band
55,equal,3-6h,191,52,0.09100517560160454,0.003378508908375509,dwell_band
55,equal,>6h,533,60,0.006799318928546207,0.0,dwell_band
55,fcfs,<=3h,16,12,0.29841091989577995,0.1737834768771156,dwell_band
55,fcfs,3-6h,191,52,0.08645440485054973,0.003378508908375509,dwell_band
55,fcfs,>6h,533,60,0.011090477193464988,0.0,dwell_band
55,history,<=3h,16,12,0.44705408945855396,0.1737834768771156,dwell_band
55,history,3-6h,191,52,0.06914975201052301,0.003378508908375509,dwell_band
55,history,>6h,533,60,0.0045772323061687055,0.0,dwell_band
55,laxity,<=3h,16,12,0.5273663379207679,0.1737834768771156,dwell_band
55,laxity,3-6h,191,52,0.08888214819792675,0.003378508908375509,dwell_band
55,laxity,>6h,533,60,0.004633969650336516,0.0,dwell_band
55,maxmin,<=3h,16,12,0.4860023261970415,0.1737834768771156,dwell_band
55,maxmin,3-6h,191,52,0.13115016689791134,0.003378508908375509,dwell_band
55,maxmin,>6h,533,60,0.01246345285499939,0.0,dwell_band
55,pf_mpc,<=3h,16,12,0.45104489038344325,0.1737834768771156,dwell_band
55,pf_mpc,3-6h,191,52,0.07685026605340113,0.003378508908375509,dwell_band
55,pf_mpc,>6h,533,60,0.004486927531407161,0.0,dwell_band
55,point,<=3h,16,12,0.6528912889518413,0.1737834768771156,dwell_band
55,point,3-6h,191,52,0.20914494968958083,0.003378508908375509,dwell_band
55,point,>6h,533,60,0.0955184441551633,0.0,dwell_band
55,point_history,<=3h,16,12,0.6622676328812677,0.1737834768771156,dwell_band
55,point_history,3-6h,191,52,0.2072749243809507,0.003378508908375509,dwell_band
55,point_history,>6h,533,60,0.09275095681638484,0.0,dwell_band
55,stochastic,<=3h,16,12,0.4519745864652082,0.1737834768771156,dwell_band
55,stochastic,3-6h,191,52,0.07312871016440615,0.003378508908375509,dwell_band
55,stochastic,>6h,533,60,0.004946121756169101,0.0,dwell_band
11,debt_share,<=15kWh,208,35,0.017541620699901346,0.00032533938709379713,request_band
11,debt_share,15-25kWh,442,59,0.05308054137786028,0.009464428129260795,request_band
11,debt_share,>25kWh,123,23,0.10119734083448174,0.008724486168894817,request_band
11,edf,<=15kWh,208,35,0.011455750286558744,0.00032533938709379713,request_band
11,edf,15-25kWh,442,59,0.040040142998116944,0.009464428129260795,request_band
11,edf,>25kWh,123,23,0.07091105055999389,0.008724486168894817,request_band
11,equal,<=15kWh,208,35,0.014169582382478145,0.00032533938709379713,request_band
11,equal,15-25kWh,442,59,0.05457128662356981,0.009464428129260795,request_band
11,equal,>25kWh,123,23,0.12248748399966862,0.008724486168894817,request_band
11,fcfs,<=15kWh,208,35,0.02572161069960583,0.00032533938709379713,request_band
11,fcfs,15-25kWh,442,59,0.050929330135262636,0.009464428129260795,request_band
11,fcfs,>25kWh,123,23,0.0844169917872493,0.008724486168894817,request_band
11,history,<=15kWh,208,35,0.011130683673994078,0.00032533938709379713,request_band
11,history,15-25kWh,442,59,0.03588077428820435,0.009464428129260795,request_band
11,history,>25kWh,123,23,0.054984949535578705,0.008724486168894817,request_band
11,laxity,<=15kWh,208,35,0.05371703015083748,0.00032533938709379713,request_band
11,laxity,15-25kWh,442,59,0.0388234751199636,0.009464428129260795,request_band
11,laxity,>25kWh,123,23,0.03055729927911623,0.008724486168894817,request_band
11,maxmin,<=15kWh,208,35,0.07484513141735669,0.00032533938709379713,request_band
11,maxmin,15-25kWh,442,59,0.07462976695468065,0.009464428129260795,request_band
11,maxmin,>25kWh,123,23,0.06510052025724675,0.008724486168894817,request_band
11,pf_mpc,<=15kWh,208,35,0.012886824520931468,0.00032533938709379713,request_band
11,pf_mpc,15-25kWh,442,59,0.037020990872076644,0.009464428129260795,request_band
11,pf_mpc,>25kWh,123,23,0.05447695643000085,0.008724486168894817,request_band
11,point,<=15kWh,208,35,0.14563847853253403,0.00032533938709379713,request_band
11,point,15-25kWh,442,59,0.1563897617113371,0.009464428129260795,request_band
11,point,>25kWh,123,23,0.15470577045583792,0.008724486168894817,request_band
11,point_history,<=15kWh,208,35,0.1431473662171169,0.00032533938709379713,request_band
11,point_history,15-25kWh,442,59,0.15749592618308011,0.009464428129260795,request_band
11,point_history,>25kWh,123,23,0.1533127879057779,0.008724486168894817,request_band
11,stochastic,<=15kWh,208,35,0.012247421384423196,0.00032533938709379713,request_band
