seed,policy,fulfillment_threshold,repeated_users,fraction_users_failing_half
44,point,0.95,60,0.8333333333333334
44,point_history,0.8,60,0.08333333333333333
44,point_history,0.9,60,0.5833333333333334
44,point_history,0.95,60,0.75
44,stochastic,0.8,60,0.0
44,stochastic,0.9,60,0.016666666666666666
44,stochastic,0.95,60,0.016666666666666666
55,debt_share,0.8,60,0.0
55,debt_share,0.9,60,0.0
55,debt_share,0.95,60,0.0
55,edf,0.8,60,0.0
55,edf,0.9,60,0.016666666666666666
55,edf,0.95,60,0.016666666666666666
55,equal,0.8,60,0.0
55,equal,0.9,60,0.016666666666666666
55,equal,0.95,60,0.016666666666666666
55,fcfs,0.8,60,0.0
55,fcfs,0.9,60,0.0
55,fcfs,0.95,60,0.0
55,history,0.8,60,0.0
55,history,0.9,60,0.0
55,history,0.95,60,0.0
55,laxity,0.8,60,0.0
55,laxity,0.9,60,0.016666666666666666
55,laxity,0.95,60,0.03333333333333333
55,maxmin,0.8,60,0.016666666666666666
55,maxmin,0.9,60,0.03333333333333333
55,maxmin,0.95,60,0.1
55,pf_mpc,0.8,60,0.0
55,pf_mpc,0.9,60,0.0
55,pf_mpc,0.95,60,0.016666666666666666
55,point,0.8,60,0.08333333333333333
55,point,0.9,60,0.5333333333333333
55,point,0.95,60,0.75
55,point_history,0.8,60,0.05
55,point_history,0.9,60,0.5
55,point_history,0.95,60,0.75
55,stochastic,0.8,60,0.0
55,stochastic,0.9,60,0.0
55,stochastic,0.95,60,0.016666666666666666
