policy,shortfall,cdf
stochastic,0.0,0.23333333333333334
stochastic,0.0,0.25
stochastic,0.0,0.26666666666666666
stochastic,0.0,0.2833333333333333
stochastic,0.0,0.3
stochastic,0.0,0.31666666666666665
stochastic,0.0,0.3333333333333333
stochastic,0.0,0.35
stochastic,0.0,0.36666666666666664
stochastic,0.0,0.38333333333333336
stochastic,0.0,0.4
stochastic,0.0,0.4166666666666667
stochastic,9.251858538542969e-18,0.43333333333333335
stochastic,1.009293658750142e-17,0.45
stochastic,1.1102230246251563e-17,0.4666666666666667
stochastic,2.6122894697062506e-17,0.48333333333333334
stochastic,3.172065784643304e-17,0.5
stochastic,0.0029007670646257933,0.5166666666666667
stochastic,0.004116761483894315,0.5333333333333333
stochastic,0.0068302648110598,0.55
stochastic,0.007681699741258915,0.5666666666666667
stochastic,0.011138875744908192,0.5833333333333334
stochastic,0.012928593805636487,0.6
stochastic,0.014294667158164036,0.6166666666666667
stochastic,0.014840554060149454,0.6333333333333333
stochastic,0.019041700703264965,0.65
stochastic,0.0236535815360179,0.6666666666666666
stochastic,0.02699802487247492,0.6833333333333333
stochastic,0.030855987148398555,0.7
stochastic,0.031114531772869464,0.7166666666666667
stochastic,0.031792596076578354,0.7333333333333333
stochastic,0.0376535683394296,0.75
stochastic,0.04032567576904214,0.7666666666666667
stochastic,0.04074065569517853,0.7833333333333333
stochastic,0.04255909277419212,0.8
stochastic,0.05022156233034917,0.8166666666666667
stochastic,0.060630347433819835,0.8333333333333334
stochastic,0.07122926600338222,0.85
stochastic,0.08833949578680748,0.8666666666666667
stochastic,0.0969238959077401,0.8833333333333333
stochastic,0.1,0.9
stochastic,0.12242873550110911,0.9166666666666666
stochastic,0.12734338920903313,0.9333333333333333
stochastic,0.12932351210478582,0.95
stochastic,0.16056416497115386,0.9666666666666667
stochastic,0.1655753636933938,0.9833333333333333
stochastic,0.22449935490961956,1.0
pf_mpc,0.0,0.016666666666666666
pf_mpc,0.0,0.03333333333333333
pf_mpc,0.0,0.05
pf_mpc,0.0,0.06666666666666667
pf_mpc,0.0,0.08333333333333333
pf_mpc,0.0,0.1
pf_mpc,0.0,0.11666666666666667
pf_mpc,0.0,0.13333333333333333
pf_mpc,0.0,0.15
pf_mpc,0.0,0.16666666666666666
pf_mpc,0.0,0.18333333333333332
pf_mpc,0.0,0.2
pf_mpc,0.0,0.21666666666666667
pf_mpc,0.0,0.23333333333333334
pf_mpc,0.0,0.25
pf_mpc,0.0,0.26666666666666666
pf_mpc,0.0,0.2833333333333333
pf_mpc,0.0,0.3
pf_mpc,0.0,0.31666666666666665
pf_mpc,0.0,0.3333333333333333
pf_mpc,0.0,0.35
pf_mpc,0.0,0.36666666666666664
pf_mpc,0.0,0.38333333333333336
pf_mpc,7.930164461608259e-18,0.4
pf_mpc,1.009293658750142e-17,0.4166666666666667
pf_mpc,1.5860328923216518e-17,0.43333333333333335
pf_mpc,2.0185873175002847e-17,0.45
pf_mpc,6.530723674265627e-17,0.4666666666666667
pf_mpc,0.0008885734719306142,0.48333333333333334
pf_mpc,0.002900767064625854,0.5
pf_mpc,0.003975707024811858,0.5166666666666667
pf_mpc,0.004116761483894293,0.5333333333333333
pf_mpc,0.006232982122161718,0.55
pf_mpc,0.006830264811059827,0.5666666666666667
pf_mpc,0.007884527178672615,0.5833333333333334
pf_mpc,0.010439345766540823,0.6
pf_mpc,0.0122486455224738,0.6166666666666667
pf_mpc,0.012928593805636454,0.6333333333333333
pf_mpc,0.015939527937272647,0.65
pf_mpc,0.02699802487247492,0.6666666666666666
pf_mpc,0.03012648320829681,0.6833333333333333
pf_mpc,0.030855987148398555,0.7
pf_mpc,0.03295320151607546,0.7166666666666667
pf_mpc,0.03423785408413504,0.7333333333333333
pf_mpc,0.034538166226460075,0.75
pf_mpc,0.03752892826131687,0.7666666666666667
pf_mpc,0.03765356833942961,0.7833333333333333
pf_mpc,0.045109921472890856,0.8
pf_mpc,0.05022156233034917,0.8166666666666667
pf_mpc,0.055806499140651576,0.8333333333333334
pf_mpc,0.07122926600338224,0.85
pf_mpc,0.08833949578680748,0.8666666666666667
pf_mpc,0.0969238959077401,0.8833333333333333
pf_mpc,0.09962445278790212,0.9
pf_mpc,0.11455761625669907,0.9166666666666666
pf_mpc,0.12242873550110914,0.9333333333333333
pf_mpc,0.12932351210478593,0.95
pf_mpc,0.15713479763058696,0.9666666666666667
pf_mpc,0.1655753636933938,0.9833333333333333
pf_mpc,0.22449935490961961,1.0
history,0.0,0.016666666666666666
history,0.0,0.03333333333333333
history,0.0,0.05
history,0.0,0.06666666666666667
history,0.0,0.08333333333333333
history,0.0,0.1
history,0.0,0.11666666666666667
history,0.0,0.13333333333333333
history,0.0,0.15
history,0.0,0.16666666666666666
history,0.0,0.18333333333333332
history,0.0,0.2
history,0.0,0.21666666666666667
history,0.0,0.23333333333333334
history,0.0,0.25
history,0.0,0.26666666666666666
history,0.0,0.2833333333333333
history,0.0,0.3
history,0.0,0.31666666666666665
history,0.0,0.3333333333333333
history,0.0,0.35
